CPU,RAM,Storage,GPU,ScreenSize,ScreenType,TouchType,Form,Region,Price in INR
CPU 20,RAM 3,S 4,GPU 28,14,FHD,Non-Touch,Desktop,IND,692320.986
CPU 25,RAM 16,S 56,GPU 5,17,FHD,Non-Touch,Laptop,FRA,529824.113
CPU 12,RAM 15,S 23,GPU 29,15,HD,Non-Touch,Laptop,CHN,357180.516
CPU 22,RAM 3,S 23,GPU 3,17,FHD,Non-Touch,Laptop,AUS,1488602.43
CPU 25,RAM 13,S 23,GPU 28,14,HD+,Touch,Laptop,AUS,396396.0462
CPU 35,RAM 15,S 4,GPU 12,17,FHD,Non-Touch,Laptop,BRA,574735.96845
CPU 20,RAM 13,S 53,GPU 28,15,UHD,Touch,Laptop,FRA,368531.1
CPU 25,RAM 15,S 23,GPU 28,13,HD,Non-Touch,Laptop,CHN,362748.078
CPU 25,RAM 15,S 41,GPU 35,15,FHD,Non-Touch,Desktop,IND,381825.108
CPU 22,RAM 15,S 54,GPU 26,DT,DT,DT,Desktop,FRA,1156376.585
CPU 6,RAM 3,S 52,GPU 28,DT,DT,DT,Desktop,IND,577976.00532
CPU 20,RAM 15,S 23,GPU 7,15,UHD,Non-Touch,Laptop,FRA,913060.071
CPU 12,RAM 15,S 16,GPU 9,DT,DT,DT,Desktop,CAN,926335.41
CPU 25,RAM 15,S 41,GPU 14,13,FHD,Non-Touch,Laptop,IND,909874.94752
CPU 12,RAM 3,S 55,GPU 11,DT,DT,DT,Desktop,FRA,1361382.029
CPU 20,RAM 13,S 41,GPU 28,14,FHD,Touch,Laptop,AUS,505593.52935
CPU 20,RAM 3,S 47,GPU 28,15,FHD,Touch,Laptop,CHN,914634
CPU 12,RAM 3,S 54,GPU 10,15,FHD,Non-Touch,Laptop,USA,770683.032
CPU 19,RAM 15,S 16,GPU 3,DT,DT,DT,Desktop,AUS,4026422.9124
CPU 25,RAM 15,S 4,GPU 18,17,FHD,Non-Touch,Laptop,IND,986860.196
CPU 20,RAM 15,S 23,GPU 28,13,QHD+,Non-Touch,Laptop,IND,1874640.04
CPU 20,RAM 3,S 54,GPU 14,15,FHD,Non-Touch,Laptop,IND,855762.432
CPU 20,RAM 3,S 70,GPU 28,15,QHD+,Non-Touch,Laptop,IND,2966954.004
CPU 25,RAM 15,S 4,GPU 4,17,FHD,Non-Touch,Laptop,IND,566257.692
CPU 44,RAM 15,S 40,GPU 28,15,HD+,Non-Touch,Laptop,FRA,223092.576
CPU 20,RAM 3,S 28,GPU 4,27,QHD,Touch,Desktop,USA,1124767.728
CPU 20,RAM 15,S 23,GPU 2,15,FHD,Non-Touch,Laptop,GER,2491957.524
CPU 20,RAM 7,S 39,GPU 14,17,FHD,Non-Touch,Laptop,CHN,1591039.8
CPU 20,RAM 3,S 4,GPU 14,17,FHD,Non-Touch,Laptop,IND,783408.962
CPU 22,RAM 3,S 31,GPU 3,DT,DT,DT,Desktop,FRA,1135701.959
CPU 42,RAM 15,S 41,GPU 28,14,FHD,Non-Touch,Laptop,IND,378679.7
CPU 25,RAM 15,S 4,GPU 18,15,FHD,Non-Touch,Laptop,IND,925976.562
CPU 6,RAM 15,S 23,GPU 9,DT,DT,DT,Desktop,FRA,397497.8
CPU 12,RAM 3,S 4,GPU 7,DT,DT,DT,Desktop,IND,782736.04458
CPU 20,RAM 3,S 23,GPU 19,15,FHD,Non-Touch,Laptop,GBR,1235225.5965
CPU 25,RAM 13,S 39,GPU 28,14,HD+,Non-Touch,Laptop,AUS,348235.335
CPU 20,RAM 15,S 54,GPU 28,14,FHD+,Non-Touch,Laptop,AUS,639358.65
CPU 6,RAM 15,S 4,GPU 5,15,FHD,Non-Touch,Laptop,IND,576817.276
CPU 20,RAM 3,S 56,GPU 2,DT,DT,DT,Desktop,IND,1199042.25
CPU 20,RAM 15,S 4,GPU 9,DT,DT,DT,Desktop,IND,724502.772
CPU 25,RAM 15,S 16,GPU 28,14,FHD,Non-Touch,Laptop,AUS,467399.835
CPU 20,RAM 13,S 4,GPU 14,15,FHD,Non-Touch,Laptop,GER,745939.25
CPU 20,RAM 15,S 4,GPU 7,DT,DT,DT,Desktop,BRA,736838.4086
CPU 22,RAM 3,S 23,GPU 26,DT,DT,DT,Desktop,AUS,1572492.495
CPU 25,RAM 15,S 56,GPU 28,17,FHD,Non-Touch,Laptop,IND,759897.698
CPU 25,RAM 15,S 39,GPU 14,15,FHD,Non-Touch,Laptop,FRA,489772.647
CPU 20,RAM 15,S 54,GPU 28,12,FHD+,Non-Touch,Laptop,AUS,740787.39
CPU 1,RAM 7,S 70,GPU 14,15,UHD,Touch,Laptop,IND,2485434
CPU 25,RAM 15,S 53,GPU 28,14,FHD,Non-Touch,Laptop,BRA,527260.2391
CPU 35,RAM 3,S 4,GPU 10,15,FHD,Touch,Laptop,FRA,371693.805
CPU 20,RAM 15,S 53,GPU 28,15,FHD,Touch,Laptop,FRA,465143.798
CPU 6,RAM 15,S 23,GPU 28,15,HD+,Non-Touch,Laptop,CHN,404145.25074
CPU 12,RAM 15,S 23,GPU 5,15,FHD+,Non-Touch,Laptop,GER,469313.474
CPU 20,RAM 15,S 56,GPU 14,15,UHD,Non-Touch,Laptop,FRA,885422.895
CPU 22,RAM 3,S 4,GPU 17,15,FHD,Non-Touch,Laptop,AUS,1209296.97
CPU 20,RAM 3,S 70,GPU 14,17,UHD,Non-Touch,Laptop,FRA,1210134.1
CPU 20,RAM 13,S 41,GPU 35,14,FHD,Touch,Laptop,AUS,514458.945
CPU 12,RAM 15,S 4,GPU 10,15,FHD,Touch,Laptop,FRA,466221
CPU 20,RAM 3,S 41,GPU 14,17,FHD,Non-Touch,Laptop,IND,920253.208
CPU 20,RAM 3,S 23,GPU 12,15,FHD,Non-Touch,Laptop,GER,1182674.388
CPU 20,RAM 3,S 54,GPU 18,15,FHD,Non-Touch,Laptop,AUS,1426730.13
CPU 25,RAM 15,S 40,GPU 7,DT,DT,DT,Desktop,FRA,546343.756
CPU 25,RAM 15,S 23,GPU 28,27,QHD,Non-Touch,Desktop,CAN,737917.18
CPU 20,RAM 3,S 56,GPU 7,15,UHD,Non-Touch,Laptop,AUS,1652717.913
CPU 20,RAM 3,S 16,GPU 26,DT,DT,DT,0,IND,1631103.852
CPU 20,RAM 15,S 56,GPU 28,15,UHD,Touch,Laptop,AUS,945955.395
CPU 12,RAM 16,S 56,GPU 10,15,FHD,Non-Touch,Laptop,IND,595296.548
CPU 22,RAM 3,S 23,GPU 28,15,FHD,Non-Touch,Laptop,GBR,1288573.426
CPU 22,RAM 7,S 41,GPU 32,15,QHD+,Non-Touch,Laptop,IND,2526816.6
CPU 25,RAM 15,S 56,GPU 14,DT,DT,DT,Desktop,IND,564984
CPU 20,RAM 3,S 23,GPU 3,15,FHD,Non-Touch,0,BRA,2422074.2959
CPU 20,RAM 15,S 41,GPU 3,17,FHD,Non-Touch,Laptop,IND,1993335.414
CPU 20,RAM 7,S 23,GPU 28,15,FHD,Non-Touch,Desktop,CHN,2237457.6
CPU 35,RAM 7,S 64,GPU 3,DT,DT,DT,Desktop,BRA,4130541.3968
CPU 25,RAM 15,S 43,GPU 7,DT,DT,DT,Desktop,FRA,603148.651
CPU 6,RAM 16,S 70,GPU 28,DT,DT,DT,Desktop,FRA,329678.146
CPU 20,RAM 7,S 70,GPU 14,17,FHD,Non-Touch,Laptop,FRA,1280359.5
CPU 25,RAM 15,S 41,GPU 17,DT,DT,DT,Desktop,CAN,950213.7372
CPU 6,RAM 3,S 41,GPU 28,13,FHD+,Non-Touch,Laptop,FRA,1023040.2
CPU 25,RAM 3,S 54,GPU 28,13,FHD,Non-Touch,Laptop,IND,1501754.73
CPU 42,RAM 15,S 40,GPU 28,13,FHD,Touch,Laptop,CAN,581572.6917
CPU 20,RAM 3,S 56,GPU 28,14,FHD,Non-Touch,Laptop,IND,74577.888
CPU 22,RAM 15,S 23,GPU 5,15,FHD,Non-Touch,Laptop,GBR,826376.614
CPU 25,RAM 7,S 4,GPU 19,DT,DT,DT,Desktop,FRA,548538.9
CPU 20,RAM 3,S 70,GPU 26,DT,DT,DT,0,IND,1449676.256
CPU 12,RAM 15,S 41,GPU 28,10,FHD,Non-Touch,Laptop,AUS,514108.98
CPU 25,RAM 15,S 23,GPU 5,27,FHD,Touch,Desktop,IND,913124.828
CPU 6,RAM 16,S 23,GPU 28,DT,DT,DT,Desktop,FRA,395395.518
CPU 20,RAM 3,S 56,GPU 26,17,UHD,Non-Touch,Laptop,BRA,1720680.51057
CPU 20,RAM 3,S 39,GPU 5,13,UHD,Touch,Laptop,CHN,2657125.8
CPU 20,RAM 3,S 52,GPU 26,17,FHD,Touch,Desktop,CAN,2312301.5916
CPU 20,RAM 15,S 54,GPU 7,15,FHD,Non-Touch,Laptop,BRA,1722942.37066
CPU 25,RAM 13,S 23,GPU 5,15,FHD,Non-Touch,Laptop,CAN,445767.14
CPU 5,RAM 15,S 51,GPU 28,12,HD+,Touch,Laptop,FRA,790353.711
CPU 13,RAM 15,S 5,GPU 6,15,UHD,Touch,Laptop,FRA,716093.49
CPU 25,RAM 16,S 23,GPU 28,15,FHD,Touch,Laptop,FRA,457163.469
CPU 10,RAM 13,S 54,GPU 5,15,FHD,Non-Touch,Laptop,GER,577794.672
CPU 20,RAM 15,S 41,GPU 28,DT,DT,DT,Desktop,IND,596995.63
CPU 25,RAM 15,S 5,GPU 14,DT,DT,DT,Desktop,CAN,723144.24
CPU 6,RAM 15,S 40,GPU 28,12,QHD+,Touch,Laptop,CAN,713176.7097
CPU 40,RAM 13,S 23,GPU 28,DT,DT,DT,Desktop,AUS,354041.37405
CPU 35,RAM 7,S 55,GPU 31,DT,DT,DT,Desktop,AUS,4457994.744
CPU 19,RAM 7,S 76,GPU 3,DT,DT,DT,0,IND,4019534.064
CPU 20,RAM 15,S 54,GPU 7,17,FHD,Non-Touch,Laptop,BRA,1212752.82975
CPU 10,RAM 3,S 56,GPU 26,DT,DT,DT,Desktop,FRA,1314567.135
CPU 20,RAM 15,S 4,GPU 28,13,UHD,Touch,Laptop,FRA,661493.385
CPU 42,RAM 3,S 23,GPU 28,DT,DT,DT,Desktop,GER,275386.174
CPU 20,RAM 7,S 34,GPU 3,DT,DT,DT,Desktop,IND,2248857.688
CPU 20,RAM 3,S 4,GPU 5,DT,DT,DT,Desktop,IND,1007522.586
CPU 20,RAM 16,S 4,GPU 7,15,FHD,Touch,Laptop,BRA,1194377.74491
CPU 25,RAM 3,S 23,GPU 35,15,FHD,Non-Touch,Laptop,GER,415718.94
CPU 20,RAM 7,S 37,GPU 7,15,FHD,Non-Touch,Laptop,FRA,1255513.392
CPU 25,RAM 3,S 23,GPU 19,DT,DT,DT,Desktop,AUS,664708.275
CPU 20,RAM 15,S 70,GPU 28,13,FHD,Non-Touch,Laptop,CHN,1539253.8
CPU 20,RAM 3,S 23,GPU 3,17,FHD,Non-Touch,Laptop,IND,2520824.796
CPU 20,RAM 3,S 54,GPU 18,DT,DT,DT,Desktop,AUS,916634.355
CPU 44,RAM 3,S 23,GPU 28,DT,DT,DT,Desktop,FRA,253012.088
CPU 42,RAM 13,S 40,GPU 28,13,FHD,Touch,Laptop,IND,509798.51874
CPU 20,RAM 15,S 23,GPU 18,DT,DT,DT,Desktop,FRA,1136443.315
CPU 12,RAM 3,S 16,GPU 9,DT,DT,DT,Desktop,CAN,959950.2731
CPU 1,RAM 7,S 52,GPU 3,17,UHD,Non-Touch,Laptop,IND,3930973.648
CPU 6,RAM 13,S 40,GPU 28,12,FHD+,Touch,Laptop,FRA,618233.28
CPU 25,RAM 15,S 41,GPU 28,14,HD,Non-Touch,Laptop,CHN,564792.732
CPU 20,RAM 3,S 40,GPU 18,15,FHD,Non-Touch,Laptop,CHN,1899223.2
CPU 20,RAM 3,S 23,GPU 14,15,FHD,Touch,Laptop,CAN,1657238.31
CPU 35,RAM 15,S 4,GPU 28,15,FHD,Touch,Laptop,FRA,503852.3
CPU 6,RAM 15,S 54,GPU 28,13,FHD,Touch,Laptop,AUS,808818.885
CPU 20,RAM 3,S 54,GPU 14,14,QHD,Non-Touch,Laptop,IND,1197314.258
CPU 10,RAM 15,S 41,GPU 14,DT,DT,DT,Desktop,IND,1028982.066
CPU 20,RAM 3,S 56,GPU 14,17,FHD,Non-Touch,Laptop,IND,1115128.91
CPU 20,RAM 7,S 40,GPU 28,15,UHD,Touch,Laptop,FRA,1117362.4
CPU 20,RAM 7,S 10,GPU 14,17,FHD,Non-Touch,Laptop,FRA,2140375.3
CPU 42,RAM 15,S 4,GPU 28,13,FHD,Non-Touch,Laptop,GER,426352.234
CPU 12,RAM 15,S 40,GPU 28,14,FHD,Non-Touch,Laptop,AUS,357475.335
CPU 42,RAM 13,S 41,GPU 28,14,HD+,Non-Touch,Laptop,AUS,346545.045
CPU 25,RAM 15,S 70,GPU 35,15,HD+,Non-Touch,Laptop,CHN,441683.676
CPU 20,RAM 3,S 54,GPU 28,13,QHD+,Non-Touch,Laptop,GBR,1929269.006
CPU 25,RAM 15,S 54,GPU 28,13,FHD+,Touch,Laptop,AUS,603290.73
CPU 25,RAM 13,S 40,GPU 28,15,FHD,Non-Touch,Laptop,BRA,447691.0893
CPU 20,RAM 7,S 56,GPU 2,15,UHD,Non-Touch,Laptop,FRA,1363593.182
CPU 22,RAM 2,S 23,GPU 3,DT,DT,DT,Desktop,FRA,2049593.168
CPU 20,RAM 15,S 56,GPU 26,DT,DT,DT,Desktop,CAN,1512957.1002
CPU 15,RAM 15,S 41,GPU 28,14,HD+,Non-Touch,Laptop,AUS,329512.995
CPU 6,RAM 15,S 54,GPU 5,15,FHD,Non-Touch,Laptop,IND,1339297.05
CPU 20,RAM 3,S 54,GPU 5,15,UHD,Non-Touch,Laptop,BRA,1123861.5367
CPU 25,RAM 15,S 4,GPU 28,15,FHD,Touch,Laptop,IND,720721.344
CPU 20,RAM 15,S 4,GPU 4,15,FHD,Non-Touch,Laptop,CHN,603050.49
CPU 25,RAM 15,S 41,GPU 28,13,QHD,Non-Touch,Laptop,AUS,514397.1
CPU 25,RAM 15,S 54,GPU 28,13,QHD+,Touch,Laptop,IND,1214648.694
CPU 22,RAM 15,S 23,GPU 12,15,FHD,Non-Touch,Laptop,AUS,819442.26
CPU 5,RAM 13,S 40,GPU 28,12,QHD+,Touch,Laptop,FRA,497413.455
CPU 13,RAM 3,S 4,GPU 7,DT,DT,DT,Desktop,FRA,863656.5
CPU 4,RAM 15,S 56,GPU 28,DT,DT,DT,Desktop,GER,373429.98
CPU 35,RAM 15,S 23,GPU 10,15,FHD,Non-Touch,Laptop,GER,450580.6858
CPU 20,RAM 3,S 4,GPU 28,14,FHD,Non-Touch,Laptop,FRA,695793.042
CPU 20,RAM 3,S 4,GPU 7,15,UHD,Non-Touch,Laptop,FRA,1153796.091
CPU 20,RAM 3,S 54,GPU 28,14,QHD,Non-Touch,Laptop,FRA,1173406.962
CPU 25,RAM 15,S 54,GPU 14,17,FHD,Non-Touch,Laptop,IND,817747.434
CPU 20,RAM 3,S 56,GPU 3,17,UHD,Non-Touch,Laptop,IND,2348567.452
CPU 20,RAM 3,S 23,GPU 28,15,FHD,Touch,Laptop,USA,998428.536
CPU 20,RAM 3,S 54,GPU 5,17,FHD,Non-Touch,Laptop,FRA,763833.056
CPU 20,RAM 7,S 39,GPU 28,15,FHD,Non-Touch,Laptop,CHN,1451368.8
CPU 10,RAM 15,S 54,GPU 28,15,FHD,Non-Touch,Laptop,AUS,733425.21
CPU 22,RAM 3,S 49,GPU 28,15,UHD,Non-Touch,Laptop,AUS,1790249.685
CPU 35,RAM 15,S 54,GPU 12,17,FHD,Non-Touch,Laptop,BRA,916477.41185
CPU 20,RAM 15,S 41,GPU 3,15,FHD,Non-Touch,Laptop,IND,2111790.422
CPU 20,RAM 15,S 13,GPU 14,DT,DT,DT,Desktop,FRA,805797.993
CPU 20,RAM 15,S 41,GPU 13,13,QHD+,Touch,Laptop,FRA,836332
CPU 22,RAM 3,S 55,GPU 11,DT,DT,DT,Desktop,CAN,3026106.72
CPU 20,RAM 15,S 49,GPU 5,15,FHD,Non-Touch,Laptop,FRA,620304.951
CPU 13,RAM 15,S 56,GPU 7,DT,DT,DT,Desktop,IND,1244364.87
CPU 20,RAM 3,S 23,GPU 9,DT,DT,DT,Desktop,AUS,1481654.16
CPU 22,RAM 15,S 56,GPU 26,15,FHD,Non-Touch,Laptop,FRA,1413293
CPU 20,RAM 7,S 54,GPU 7,18,FHD,Non-Touch,Laptop,BRA,3600406.0974
CPU 20,RAM 15,S 31,GPU 17,DT,DT,DT,Desktop,FRA,811432.944
CPU 25,RAM 15,S 56,GPU 5,17,FHD,Non-Touch,Laptop,FRA,845872.951
CPU 4,RAM 15,S 23,GPU 32,DT,DT,DT,Desktop,IND,751484.888
CPU 20,RAM 3,S 56,GPU 2,15,FHD,Non-Touch,Laptop,AUS,2229148.845
CPU 6,RAM 15,S 40,GPU 1,15,FHD,Non-Touch,Laptop,IND,667399.6574
CPU 20,RAM 7,S 60,GPU 3,17,FHD,Non-Touch,Laptop,FRA,2134988.1
CPU 25,RAM 15,S 53,GPU 14,15,FHD,Non-Touch,Laptop,GER,726031.53
CPU 12,RAM 5,S 54,GPU 19,DT,DT,DT,Desktop,FRA,714748.888
CPU 20,RAM 3,S 56,GPU 12,15,FHD,Non-Touch,Laptop,IND,1259222.958
CPU 1,RAM 3,S 33,GPU 2,17,UHD,Non-Touch,Laptop,BRA,2180804.77643
CPU 25,RAM 15,S 4,GPU 5,DT,DT,DT,Desktop,IND,500518.83
CPU 20,RAM 3,S 39,GPU 28,15,FHD,Non-Touch,Laptop,CHN,1269853.2
CPU 25,RAM 3,S 41,GPU 18,17,FHD,Non-Touch,Laptop,FRA,1074142.839
CPU 25,RAM 14,S 53,GPU 28,15,UHD,Non-Touch,Laptop,FRA,286561.8
CPU 20,RAM 3,S 28,GPU 19,DT,DT,DT,Desktop,FRA,827504.02
CPU 20,RAM 13,S 53,GPU 19,15,FHD,Non-Touch,Laptop,FRA,577626
CPU 22,RAM 3,S 55,GPU 26,DT,DT,DT,Desktop,FRA,1431483.9
CPU 12,RAM 15,S 40,GPU 28,13,FHD,Touch,Laptop,FRA,608677.839
CPU 42,RAM 13,S 40,GPU 28,14,HD+,Touch,Laptop,BRA,430941.36995
CPU 25,RAM 15,S 25,GPU 28,13,UHD,Non-Touch,Laptop,GBR,1138428.928
CPU 20,RAM 13,S 23,GPU 28,DT,DT,DT,Desktop,FRA,627765.6
CPU 25,RAM 15,S 40,GPU 28,13,HD,Non-Touch,Laptop,BRA,1056823.47162
CPU 20,RAM 3,S 1,GPU 12,15,FHD,Non-Touch,Laptop,GER,1366557.766
CPU 7,RAM 15,S 39,GPU 28,15,FHD,Non-Touch,Laptop,AUS,357479.64
CPU 22,RAM 13,S 54,GPU 12,17,FHD,Non-Touch,Laptop,FRA,867836.2
CPU 20,RAM 3,S 17,GPU 2,DT,DT,DT,Desktop,FRA,1499672.79
CPU 1,RAM 7,S 23,GPU 14,15,FHD,Non-Touch,Laptop,CAN,2255131.97
CPU 20,RAM 15,S 56,GPU 5,DT,DT,DT,Desktop,FRA,727292.727
CPU 20,RAM 3,S 56,GPU 19,15,FHD,Touch,Laptop,CAN,1315994.9985
CPU 20,RAM 3,S 54,GPU 3,15,FHD,Non-Touch,0,BRA,2158360.2082
CPU 22,RAM 8,S 59,GPU 14,DT,DT,DT,Desktop,FRA,1410954.727
CPU 20,RAM 16,S 56,GPU 19,15,FHD,Touch,Laptop,BRA,1148154.42665
CPU 25,RAM 15,S 41,GPU 28,14,UHD,Touch,Laptop,FRA,546517.713
CPU 25,RAM 15,S 4,GPU 35,17,FHD,Non-Touch,Laptop,CAN,712261.55
CPU 20,RAM 7,S 23,GPU 7,15,FHD,Non-Touch,Laptop,FRA,1573497.8
CPU 9,RAM 15,S 23,GPU 32,DT,DT,DT,Desktop,FRA,425886.657
CPU 6,RAM 7,S 23,GPU 5,15,FHD,Non-Touch,Laptop,FRA,495508.713
CPU 20,RAM 3,S 41,GPU 14,15,FHD,Non-Touch,Laptop,IND,2078050.8
CPU 19,RAM 7,S 55,GPU 31,DT,DT,DT,Desktop,CAN,4754740.4905
CPU 25,RAM 15,S 4,GPU 28,17,HD+,Non-Touch,Laptop,BRA,558094.63325
CPU 20,RAM 3,S 3,GPU 7,DT,DT,DT,Desktop,FRA,885352.622
CPU 40,RAM 15,S 23,GPU 28,15,HD+,Non-Touch,Laptop,USA,291306.20904
CPU 20,RAM 13,S 53,GPU 28,15,HD,Non-Touch,Laptop,FRA,343730.1
CPU 25,RAM 15,S 4,GPU 19,17,FHD,Touch,Laptop,IND,1127695.674
CPU 42,RAM 13,S 40,GPU 28,14,HD+,Non-Touch,Laptop,BRA,442690.50175
CPU 20,RAM 3,S 41,GPU 28,13,QHD+,Touch,Laptop,AUS,1104489.54
CPU 4,RAM 15,S 23,GPU 28,DT,DT,DT,Desktop,USA,477110.088
CPU 22,RAM 7,S 43,GPU 11,DT,DT,DT,Desktop,GBR,2707427.268
CPU 20,RAM 15,S 16,GPU 26,DT,DT,DT,Desktop,FRA,1337829.129
CPU 20,RAM 3,S 54,GPU 26,15,UHD,Touch,Laptop,IND,2622001.536
CPU 8,RAM 15,S 41,GPU 7,DT,DT,DT,Desktop,AUS,2172775.16295
CPU 20,RAM 7,S 4,GPU 19,17,FHD,Non-Touch,Laptop,FRA,1113307.3
CPU 25,RAM 15,S 53,GPU 19,15,FHD,Non-Touch,Laptop,FRA,633667.545
CPU 42,RAM 14,S 23,GPU 28,DT,DT,DT,Desktop,FRA,437359.587
CPU 20,RAM 3,S 56,GPU 18,15,UHD,Non-Touch,Laptop,AUS,2010848.28
CPU 22,RAM 3,S 55,GPU 3,17,FHD,Non-Touch,Laptop,IND,2888472.44
CPU 8,RAM 7,S 14,GPU 31,DT,DT,DT,Desktop,FRA,2269497.559
CPU 28,RAM 13,S 40,GPU 28,12,FHD+,Touch,Laptop,GER,935174.898
CPU 20,RAM 7,S 54,GPU 28,15,UHD,Touch,Laptop,IND,2918424.3564
CPU 25,RAM 3,S 41,GPU 28,15,FHD,Touch,Laptop,USA,1080035.712
CPU 10,RAM 15,S 4,GPU 17,17,FHD,Non-Touch,Laptop,FRA,957816.517
CPU 44,RAM 15,S 41,GPU 28,14,FHD,Non-Touch,Laptop,AUS,383662.125
CPU 20,RAM 16,S 5,GPU 5,17,FHD,Non-Touch,Laptop,FRA,704889.752
CPU 25,RAM 15,S 41,GPU 28,12,FHD,Touch,Laptop,FRA,746852.4
CPU 6,RAM 3,S 54,GPU 28,13,FHD+,Non-Touch,Laptop,FRA,1357525.4
CPU 35,RAM 7,S 70,GPU 10,15,FHD,Touch,Laptop,FRA,865426.8
CPU 12,RAM 15,S 41,GPU 5,15,FHD,Non-Touch,Laptop,FRA,529192.44
CPU 22,RAM 3,S 16,GPU 26,DT,DT,DT,Desktop,GBR,2321081.686
CPU 26,RAM 13,S 23,GPU 28,21,FHD,Touch,Desktop,FRA,322965.489
CPU 20,RAM 7,S 64,GPU 14,DT,DT,DT,Desktop,FRA,1261478.4
CPU 20,RAM 16,S 4,GPU 14,17,FHD,Non-Touch,Laptop,FRA,925728.412
CPU 6,RAM 1,S 23,GPU 5,15,FHD,Non-Touch,Laptop,BRA,615732.79012
CPU 20,RAM 15,S 70,GPU 28,17,UHD,Non-Touch,Laptop,FRA,590218.433
CPU 22,RAM 3,S 52,GPU 18,DT,DT,DT,Desktop,FRA,1186996.391
CPU 20,RAM 15,S 56,GPU 26,DT,DT,DT,0,CAN,1676938.1356
CPU 6,RAM 10,S 23,GPU 28,23,FHD,Touch,Desktop,FRA,643782.426
CPU 42,RAM 13,S 39,GPU 28,14,HD+,Non-Touch,Laptop,AUS,354029.76
CPU 12,RAM 3,S 4,GPU 9,DT,DT,DT,Desktop,FRA,686692.37
CPU 6,RAM 15,S 40,GPU 28,12,FHD,Touch,Laptop,AUS,720321.84
CPU 2,RAM 16,S 23,GPU 7,DT,DT,DT,Desktop,IND,438264.6142
CPU 25,RAM 15,S 56,GPU 19,17,FHD+,Non-Touch,Laptop,BRA,954657.29856
CPU 20,RAM 16,S 4,GPU 7,17,FHD,Touch,Laptop,BRA,1669435.65278
CPU 20,RAM 15,S 67,GPU 28,17,FHD,Touch,Laptop,FRA,904462.335
CPU 10,RAM 15,S 23,GPU 12,17,FHD,Non-Touch,Laptop,FRA,804082.342
CPU 12,RAM 15,S 41,GPU 28,13,FHD,Non-Touch,Laptop,AUS,575284.92
CPU 25,RAM 15,S 56,GPU 32,15,FHD,Non-Touch,Laptop,AUS,588399.105
CPU 22,RAM 7,S 37,GPU 26,17,FHD,Non-Touch,Laptop,FRA,1883062.314
CPU 20,RAM 3,S 54,GPU 26,15,FHD,Non-Touch,Laptop,CAN,1998350.0082
CPU 22,RAM 3,S 56,GPU 26,DT,DT,DT,Desktop,IND,1808035.53
CPU 12,RAM 15,S 23,GPU 8,DT,DT,DT,Desktop,FRA,691878.81
CPU 20,RAM 3,S 64,GPU 14,17,FHD,Non-Touch,Laptop,FRA,1502094.3
CPU 10,RAM 15,S 52,GPU 19,15,FHD,Non-Touch,Laptop,FRA,839300
CPU 20,RAM 3,S 16,GPU 11,DT,DT,DT,Desktop,AUS,3428259.3387
CPU 20,RAM 8,S 54,GPU 2,15,FHD,Non-Touch,Laptop,GBR,2778534.122
CPU 25,RAM 15,S 23,GPU 18,DT,DT,DT,Desktop,FRA,963367.293
CPU 35,RAM 15,S 23,GPU 32,15,FHD,Non-Touch,Laptop,GER,563281.5972
CPU 20,RAM 7,S 59,GPU 7,17,QHD,Non-Touch,Laptop,FRA,2094112.244
CPU 20,RAM 3,S 23,GPU 3,DT,DT,DT,Desktop,FRA,1580788.251
CPU 6,RAM 13,S 39,GPU 28,15,HD,Non-Touch,Laptop,CHN,308420.8848
CPU 25,RAM 3,S 52,GPU 28,15,FHD,Touch,Laptop,FRA,594283.2
CPU 25,RAM 3,S 76,GPU 19,DT,DT,DT,Desktop,IND,1102286.262
CPU 12,RAM 15,S 56,GPU 19,DT,DT,DT,Desktop,CAN,1208927.72
CPU 1,RAM 7,S 23,GPU 5,15,FHD,Non-Touch,Laptop,IND,2339181.614
CPU 15,RAM 13,S 40,GPU 28,13,FHD,Non-Touch,Laptop,AUS,394871.4
CPU 6,RAM 15,S 23,GPU 19,DT,DT,DT,Desktop,FRA,934140.9
CPU 19,RAM 3,S 4,GPU 3,DT,DT,DT,Desktop,FRA,3033022.223
CPU 20,RAM 7,S 64,GPU 5,17,FHD,Non-Touch,Laptop,FRA,1523923.1
CPU 10,RAM 16,S 41,GPU 19,15,FHD,Non-Touch,Laptop,FRA,661632.216
CPU 25,RAM 15,S 39,GPU 28,14,FHD,Non-Touch,Laptop,AUS,340313.61
CPU 25,RAM 15,S 53,GPU 5,15,FHD,Non-Touch,Laptop,FRA,569246.202
CPU 8,RAM 3,S 44,GPU 31,DT,DT,DT,Desktop,IND,2880082.36152
CPU 12,RAM 15,S 70,GPU 18,DT,DT,DT,Desktop,FRA,650712.16
CPU 6,RAM 15,S 23,GPU 8,DT,DT,DT,Desktop,CAN,1072060.7898
CPU 20,RAM 3,S 54,GPU 14,15,FHD,Touch,Laptop,AUS,2057652.1245
CPU 25,RAM 3,S 41,GPU 28,13,FHD,Non-Touch,Laptop,FRA,1261112.118
CPU 20,RAM 15,S 5,GPU 19,15,FHD,Non-Touch,Laptop,FRA,1020102.153
CPU 4,RAM 15,S 4,GPU 28,DT,DT,DT,Desktop,FRA,431577.153
CPU 6,RAM 13,S 23,GPU 28,15,HD+,Non-Touch,Laptop,AUS,430654.98
CPU 20,RAM 3,S 70,GPU 4,15,FHD,Non-Touch,Laptop,GER,919130.926
